"","results.title","results.updated_date","results.created_date","results.published_date"
"1","Overdose Deaths Continue Rising, With Fentanyl and Meth Key Culprits","2022-05-11T16:06:24-04:00","2022-05-11T10:11:23-04:00","2022-05-11T10:11:23-04:00"
"2","Surfside Condo Collapse Victims Reach $997 Million Settlement","2022-05-11T22:52:02-04:00","2022-05-11T16:17:23-04:00","2022-05-11T16:17:23-04:00"
"3","Louisiana’s governor says he opposes a bill to classify abortion as homicide.","2022-05-11T17:47:54-04:00","2022-05-11T17:41:42-04:00","2022-05-11T17:41:42-04:00"
"4","Newsom Offers Tax Breaks for Companies in Anti-Abortion States","2022-05-11T20:53:50-04:00","2022-05-11T19:42:44-04:00","2022-05-11T19:42:44-04:00"
"5","California Can’t Keep Semiautomatic Guns From Young Adults, Court Rules","2022-05-11T21:44:14-04:00","2022-05-11T21:24:40-04:00","2022-05-11T21:24:40-04:00"
"6","Court Must Reconsider Case of Woman Sentenced to 5 Years for Voter Fraud","2022-05-11T20:04:37-04:00","2022-05-11T20:04:37-04:00","2022-05-11T20:04:37-04:00"
"7","John Eastman Pressed Pennsylvania Legislator to Throw Out Biden Votes","2022-05-11T20:03:50-04:00","2022-05-11T20:03:50-04:00","2022-05-11T20:03:50-04:00"
"8","Los Angeles Mayor’s Path to U.S. Ambassadorship Is Constricting","2022-05-11T19:18:52-04:00","2022-05-11T19:18:52-04:00","2022-05-11T19:18:52-04:00"
"9","A Leaky Supreme Court Starts to Resemble the Other Branches","2022-05-11T19:10:28-04:00","2022-05-11T19:10:28-04:00","2022-05-11T19:10:28-04:00"
"10","Hard-Liners Gain in Pennsylvania G.O.P. Races, Worrying Both Parties","2022-05-11T23:15:14-04:00","2022-05-11T19:05:15-04:00","2022-05-11T19:05:15-04:00"
"11","Can Donald Trump Get This 26-Year-Old Elected to Congress?","2022-05-11T19:03:53-04:00","2022-05-11T19:00:07-04:00","2022-05-11T19:00:07-04:00"
"12","Soldier Is Killed by Brown Bear on Alaska Military Base","2022-05-11T18:31:50-04:00","2022-05-11T18:22:31-04:00","2022-05-11T18:22:31-04:00"
"13","How abortion is already animating the Senate race in Georgia.","2022-05-11T18:15:36-04:00","2022-05-11T18:08:30-04:00","2022-05-11T18:08:30-04:00"
"14","Trump Completes Sale of Washington Hotel to Investor Group","2022-05-11T22:51:36-04:00","2022-05-11T17:40:23-04:00","2022-05-11T17:40:23-04:00"
"15","Why the Justice Department Is Unlikely to Investigate the Supreme Court Leak","2022-05-11T18:16:38-04:00","2022-05-11T17:33:56-04:00","2022-05-11T17:33:56-04:00"
"16","John Leo, Columnist Who Took Aim at Liberal Pieties, Dies at 86","2022-05-11T16:57:57-04:00","2022-05-11T16:57:57-04:00","2022-05-11T16:57:57-04:00"
"17","Only a third of Americans were worried about the pandemic in April, even as new cases rose, a new poll finds.","2022-05-11T22:19:12-04:00","2022-05-11T16:34:57-04:00","2022-05-11T16:34:57-04:00"
"18","Passenger Lands Small Plane in Florida After Pilot Falls Ill","2022-05-11T19:08:17-04:00","2022-05-11T16:15:25-04:00","2022-05-11T16:15:25-04:00"
"19","A judge in Florida says he will block Republicans’ new congressional map.","2022-05-11T15:27:13-04:00","2022-05-11T15:26:29-04:00","2022-05-11T15:26:29-04:00"
"20","U.S. lawmakers struggle with how to get a Covid aid package passed over an immigration fight.","2022-05-11T17:25:19-04:00","2022-05-11T15:15:18-04:00","2022-05-11T15:15:18-04:00"
"21","Assessing the Claims in the Alito Draft Opinion Overturning Roe","2022-05-11T15:23:16-04:00","2022-05-11T14:45:47-04:00","2022-05-11T14:45:47-04:00"
"22","Report Catalogs Abuse of Native American Children at Former Government Schools","2022-05-11T15:52:41-04:00","2022-05-11T12:02:00-04:00","2022-05-11T12:02:00-04:00"
"23","Bill to Guarantee Abortion Rights Fails in Senate","2022-05-11T22:30:28-04:00","2022-05-11T12:00:16-04:00","2022-05-11T12:00:16-04:00"
"24","The Purple Tree Gods of Los Angeles Return","2022-05-11T08:29:28-04:00","2022-05-11T08:29:28-04:00","2022-05-11T08:29:28-04:00"
"25","Club for Growth Starts Ad Blitz for Kathy Barnette in Pennsylvania Senate Primary","2022-05-11T09:28:05-04:00","2022-05-11T07:40:07-04:00","2022-05-11T07:40:07-04:00"
"26","4 Takeaways From Tuesday’s Primaries in Nebraska and West Virginia","2022-05-11T10:44:16-04:00","2022-05-11T06:00:07-04:00","2022-05-11T06:00:07-04:00"
"27","In an Uphill Year, Democrats of All Stripes Worry About Electability","2022-05-11T17:26:10-04:00","2022-05-11T05:00:18-04:00","2022-05-11T05:00:18-04:00"
"28","Jim Pillen upends a Trump-backed rival to win Nebraska’s G.O.P. primary for governor.","2022-05-11T00:22:27-04:00","2022-05-10T23:26:15-04:00","2022-05-10T23:26:15-04:00"
"29","Haitian Gang Leader Is Charged With Abducting American Missionaries","2022-05-10T23:36:34-04:00","2022-05-10T21:57:31-04:00","2022-05-10T21:57:31-04:00"
